
    *note: replace the "number" with your phone or pin number


3 River Wireless  	phonenumber@sms.3rivers.net
Idea Cellular 	phonenumber@ideacellular.net
Inland Cellular Telephone 	phonenumber@inlandlink.com
Kerala Escotel 	phonenumber@escotelmobile.com
Kolkata Airtel 	phonenumber@airtelkol.com
Kyivstar 	number@smsmail.lmt.lv
LMT 	phonenumber@smsmail.lmt.lv
Maharashtra BPL Mobile 	phonenumber@bplmobile.com
Maharashtra Idea Cellular 	phonenumber@ideacellular.net
Manitoba Telecom Systems 	phonenumber@text.mtsmobility.com
MCI Phone 	phonenumber@mci.com
Meteor 	phonenumber@mymeteor.ie
Meteor 	phonenumber@sms.mymeteor.ie
Metro PCS 	10digitphonenumber@mymetropcs.com
Metro PCS 	10digitphonenumber@metropcs.sms.us
Microcell 	phonenumber@fido.ca
Midwest Wireless 	phonenumber@clearlydigital.com
MiWorld 	phonenumber@m1.com.sg
Mobilecomm 	number@mobilecomm.net
Mobileone 	phonenumber@m1.com.sg
Mobility Bermuda 	phonenumber@ml.bm
Mobistar Belgium 	phonenumber@mobistar.be
Mobitel Tanzania 	phonenumber@sms.co.tz
Mobtel Srbija 	phonenumber@mobtel.co.yu
Motient 	number@isp.com
Movistar 	number@correo.movistar.net
Mumbai BPL Mobile 	phonenumber@bplmobile.com
Mumbai Orange 	phonenumber@orangemail.co.in
NBTel 	number@wirefree.informe.ca
Netcom 	phonenumber@sms.netcom.no
Nextel 	10digitphonenumber@messaging.nextel.com
Nextel 	10digitphonenumber@nextel.com.br
NPI Wireless 	phonenumber@npiwireless.com
Ntelos 	number@pcs.ntelos.com
O2 	name@o2.co.uk
O2 	number@o2imail.co.uk
O2 (M-mail) 	number@mmail.co.uk
Omnipoint 	number@omnipoint.com
Omnipoint 	10digitphonenumber@omnipointpcs.com
One Connect Austria 	phonenumber@onemail.at
OnlineBeep 	10digitphonenumber@onlinebeep.net
Optus Mobile 	phonenumber@optusmobile.com.au
Orange 	phonenumber@orange.net
Orange Mumbai 	phonenumber@orangemail.co.in
Orange - NL / Dutchtone 	phonenumber@sms.orange.nl
Oskar 	phonenumber@mujoskar.cz
P&T Luxembourg 	phonenumber@sms.luxgsm.lu
Pacific Bell 	phonenumber@pacbellpcs.net
PCS One 	phonenumber@pcsone.net
Personal Communication 	sms@pcom.ru (number in subject line)
Pioneer / Enid Cellular 	phonenumber@msg.pioneerenidcellular.com
PlusGSM 	phonenumber@text.plusgsm.pl
Pondicherry BPL Mobile 	phonenumber@bplmobile.com
Powertel 	phonenumber@voicestream.net
Price Communications 	phonenumber@mobilecell1se.com
Primeco 	10digitnumber@email.uscc.net
Primtel 	phonenumber@sms.primtel.ru
Public Service Cellular 	phonenumber@sms.pscel.com
Qwest 	10digitphonenumber@qwestmp.com
Rogers AT&T Wireless 	phonenumber@pcs.rogers.com
Rogers Canada 	10digitphonenumber@pcs.rogers.com
Safaricom 	phonenumber@safaricomsms.com
Satelindo GSM 	phonenumber@satelindogsm.com
SCS-900 	phonenumber@scs-900.ru
SFR France 	phonenumber@sfr.fr
Simple Freedom 	phonenumber@text.simplefreedom.net
Smart Telecom 	phonenumber@mysmart.mymobile.ph
Southwestern Bell 	number@email.swbw.com
Sprint PCS 	10digitphonenumber@messaging.sprintpcs.com
SunCom 	number@tms.suncom.com
SunCom 	number@suncom1.com
Sunrise Mobile 	phonenumber@mysunrise.ch
Sunrise Mobile 	phonenumber@freesurf.ch
Surewest Communicaitons 	phonenumber@mobile.surewest.com
Swisscom 	phonenumber@bluewin.ch
T-Mobile 	10digitphonenumber@tmomail.net
T-Mobile 	10digitphonenumber@voicestream.net
T-Mobile Austria 	phonenumber@sms.t-mobile.at
T-Mobile Germany 	phonenumber@t-d1-sms.de
T-Mobile UK 	phonenumber@t-mobile.uk.net
Tamil Nadu BPL Mobile 	phonenumber@bplmobile.com
Tele2 Latvia 	phonenumber@sms.tele2.lv
Telefonica Movistar 	phonenumber@movistar.net
Telenor 	phonenumber@mobilpost.no
Telia Denmark 	phonenumber@gsm1800.telia.dk
Telus 	phonenumber@msg.telus.com
TIM 	10digitphonenumber@timnet.com
Triton 	phonenumber@tms.suncom.com
UMC 	phonenumber@sms.umc.com.ua
Unicel 	phonenumber@utext.com
Uraltel 	phonenumber@sms.uraltel.ru
US Cellular 	10digitphonenumber@smtp.uscc.net
US Cellular 	10digitphonenumber@email.uscc.net
US Cellular 	10digitphonenumber@uscc.textmsg.com
US West 	number@uswestdatamail.com
Uttar Pradesh Escotel 	phonenumber@escotelmobile.com
Verizon PCS 	10digitphonenumber@vtext.com
Verizon PCS 	10digitphonenumber@myvzw.com
Virgin Mobile 	phonenumber@vmobl.com
Virgin Mobile 	phonenumber@vxtras.com
Vodafone Italy 	number@sms.vodafone.it
Vodafone Japan 	phonenumber@c.vodafone.ne.jp
Vodafone Japan 	phonenumber@h.vodafone.ne.jp
Vodafone Japan 	phonenumber@t.vodafone.ne.jp
Vodafone UK 	phonenumber@vodafone.net
VoiceStream / T-Mobile 	10digitphonenumber@voicestream.net
West Central Wireless 	phonenumber@sms.wcc.net
Western Wireless 	phonenumber@cellularonewest.com
Wyndtell 	number@wyndtell.com

// ______________________________
ACS Wireless 	phonenumber@paging.acswireless.com
Advantage Communications 	10digitpagernumber@advantagepaging.com
Airtouch Pagers 	10digitpagernumber@myairmail.com
Airtouch Pagers 	10digitpagernumber@alphapage.airtouch.com
Airtouch Pagers 	10digitpagernumber@airtouch.net
Airtouch Pagers 	10digitpagernumber@airtouchpaging.com
WebLink Wiereless 	pagernumber@airmessage.net
WebLink Wiereless 	pagernumber@pagemart.net
Vessotel 	phonenumber@pager.irkutsk.ru
Verizon Pagers 	10digitpagernumber@myairmail.com
TSR Wireless 	pagernumber@alphame.com
TSR Wireless 	pagernumber@beep.com
Teletouch 	10digitpagernumber@pageme.teletouch.com
ST Paging 	pin@page.stpaging.com
Skytel Pagers 	7digitpinnumber@skytel.com
Skytel Pagers 	number@email.skytel.com
Sprint 	10digitphonenumber@sprintpaging.com
Satellink 	10digitpagernumber.pageme@satellink.net
SBC Ameritech Paging (see also American Messaging) 	10digitpagernumber@paging.acswireless.com
Southern LINC 	10digitphonenumber@page.southernlinc.com
RAM Page 	number@ram-page.com
PageMart 	7digitpinnumber@pagemart.net
PageMart Advanced /2way 	10digitpagernumber@airmessage.net
PageMart Canada 	10digitpagernumber@pmcl.net
PageNet Canada 	phonenumber@pagegate.pagenet.ca
PageOne NorthWest 	10digitnumber@page1nw.com
Qualcomm 	name@pager.qualcomm.com
ProPage 	7digitpagernumber@page.propage.net
Nextel 	10digitphonenumber@page.nextel.com
Morris Wireless 	10digitpagernumber@beepone.net
Mobilfone 	phonenumber@page.mobilfone.com
Mobilecom PA 	10digitpagernumber@page.mobilcom.net
Metrocall 	10digitpagernumber@page.metrocall.com
Metrocall 2-way 	10digitpagernumber@my2way.com
MCI 	phonenumber@pagemci.com
Lauttamus Communication 	pagernumber@e-page.net
The Indiana Paging Co 	last4digits@pager.tdspager.com
JSM Tele-Page 	pinnumber@jsmtel.com
Infopage Systems 	pinnumber@page.infopagesystems.com
GTE 	number@gte.pagegate.net
Gabriel Wireless 	10digitpagernumber@epage.gabrielwireless.com
Galaxy Corporation 	10digitpagernumber.epage@sendabeep.net
GCS Paging 	pagernumber@webpager.us
GrayLink / Porta-Phone 	10digitpagernumber@epage.porta-phone.com
Communication Specialists 	7digitpin@pageme.comspeco.net
Communication Specialist Companies 	pin@pager.comspeco.com
Cook Paging 	10digitpagernumber@cookmail.com
Digi-Page / Page Kansas 	10digitpagernumber@page.hit.net
Cingular 	mobilenumber@page.cingular.com
Central Vermont Communications 	10digitpagernumber@cvcpaging.com
Cellular One PCS 	phonenumber@paging.cellone-sf.com
Carolina Mobile Communications 	10digitpagernumber@cmcpaging.com
Ameritech Paging (see also American Messaging) 	10digitpagernumber@paging.acswireless.com
Ameritech Paging (see also American Messaging) 	10digitpagernumber@pageapi.com
American Messaging (SBC/Ameritech) 	10digitpagernumber@page.americanmessaging.net
Ameritech Clearpath 	10digitpagernumber@clearpath.acswireless.com
Arch Pagers (PageNet) 	10digitpagernumber@archwireless.net
Arch Pagers (PageNet) 	10digitpagernumber@epage.arch.com
Arch Pagers (PageNet) 	10digitpagernumber@archwireless.net
Beepwear 	pagernumber@beepwear.net
 
